   ============================== 
=== Suspicious Behavior (432 Cases) === 
   ==============================


melaina.gabeline@yahoo.com.mx	7
		09:24:38	login		myworkstation.local
		13:16:04	logout			mailserver.local
		18:33:11	logout			webserver.local
	DATE: [2020-05-19] ---
		00:32:46	login		myworkstation.local
		03:47:12	logout			myworkstation.local
		13:50:51	login		mailserver.local
	DATE: [2020-05-21] ---
		02:23:47	logout			webserver.local
		02:25:54	logout			myworkstation.local
		03:37:46	login		mailserver.local
		18:16:35	logout			mailserver.local
		22:34:00	logout			webserver.local
	DATE: [2020-05-28] ---
		01:00:10	login		myworkstation.local
		09:47:18	logout			mailserver.local
		13:30:20	logout			mailserver.local
		15:05:30	login		webserver.local


loriann.ryba@mail2perry.com	7
	DATE: [2020-05-05] ---
		00:53:49	logout			webserver.local
		02:30:05	login		myworkstation.local
	DATE: [2020-05-07] ---
		04:18:01	login		mailserver.local
		10:28:59	logout			mailserver.local
		11:26:20	logout			myworkstation.local
		15:25:31	login		webserver.local
		17:54:56	logout			mailserver.local
		22:40:27	login		myworkstation.local
	DATE: [2020-05-09] ---
		00:24:08	login		webserver.local
		16:30:14	logout			webserver.local
	DATE: [2020-05-14] ---
		02:00:25	logout			mailserver.local
		02:55:46	login		myworkstation.local
		08:15:33	logout			myworkstation.local
		22:34:43	logout			webserver.local
	DATE: [2020-05-17] ---
		04:33:43	login		webserver.local
	DATE: [2020-05-19] ---
		00:27:00	login		myworkstation.local
		03:14:58	logout			myworkstation.local
		06:20:54	login		myworkstation.local
		19:28:44	login		webserver.local
		20:46:43	logout			myworkstation.local
		21:27:54	logout			webserver.local
	DATE: [2020-05-22] ---
		03:57:22	login		mailserver.local
		15:43:46	logout			mailserver.local
		16:45:52	login		mailserver.local


jakara.pedretti@mail2srilanka.com	14
	DATE: [2020-05-02] ---
		03:02:25	login		myworkstation.local
		03:03:24	login		webserver.local
		13:04:26	login		mailserver.local
		16:01:59	login		mailserver.local
	DATE: [2020-05-05] ---
		00:21:27	login		mailserver.local
		01:00:37	logout			webserver.local
		02:26:31	logout			mailserver.local
		05:43:27	login		mailserver.local
		10:31:03	login		myworkstation.local
		23:12:46	login		webserver.local
	DATE: [2020-05-08] ---
		04:41:55	login		myworkstation.local
		12:29:13	logout			mailserver.local
	DATE: [2020-05-09] ---
		03:24:39	login		webserver.local
		04:12:37	login		webserver.local
		04:59:12	login		mailserver.local
		13:53:57	logout			mailserver.local
	DATE: [2020-05-11] ---
		03:33:40	login		myworkstation.local
		14:25:50	login		myworkstation.local
		16:49:01	login		myworkstation.local
		22:25:04	login		myworkstation.local
		23:31:45	logout			myworkstation.local
	DATE: [2020-05-12] ---
		02:19:16	login		webserver.local
		03:27:44	logout			webserver.local
		20:15:47	logout			myworkstation.local
		23:10:04	logout			myworkstation.local
	DATE: [2020-05-13] ---
		00:50:18	login		myworkstation.local
		05:30:14	logout			webserver.local
		09:36:12	logout			mailserver.local
		14:27:56	login		myworkstation.local
		14:53:12	logout			myworkstation.local
		20:49:31	logout			webserver.local
		21:36:14	logout			mailserver.local
	DATE: [2020-05-14] ---
		00:40:12	login		mailserver.local
		09:21:26	logout			myworkstation.local
		10:19:24	logout			webserver.local
	DATE: [2020-05-21] ---
		01:11:44	login		myworkstation.local
		08:20:43	login		mailserver.local
		11:32:29	logout			mailserver.local
		21:51:20	login		webserver.local
		22:25:39	login		mailserver.local
	DATE: [2020-05-24] ---
		04:10:34	login		mailserver.local
		11:08:33	logout			webserver.local
		13:37:39	login		mailserver.local
		14:39:16	logout			myworkstation.local
		17:05:59	login		webserver.local
	DATE: [2020-05-25] ---
		00:46:35	login		webserver.local
		03:34:48	login		webserver.local
		16:49:41	login		myworkstation.local
	DATE: [2020-05-28] ---
		03:44:24	login		mailserver.local
		10:02:49	logout			mailserver.local
		13:10:38	login		mailserver.local
	DATE: [2020-05-29] ---
		01:42:57	login		mailserver.local
		16:16:09	logout			mailserver.local
	DATE: [2020-05-30] ---
		01:26:40	login		webserver.local
		01:45:05	login		mailserver.local
		04:35:46	login		myworkstation.local


remington.caffrey@estranet.it	7
	DATE: [2020-05-06] ---
		02:48:23	login		myworkstation.local
		04:22:29	logout			myworkstation.local
		15:38:27	logout			webserver.local
	DATE: [2020-05-11] ---
		04:59:03	login		mailserver.local
	DATE: [2020-05-13] ---
		00:54:06	login		mailserver.local
		19:47:31	login		mailserver.local
	DATE: [2020-05-16] ---
		00:56:40	login		mailserver.local
		11:41:54	login		myworkstation.local
		20:58:19	logout			mailserver.local
	DATE: [2020-05-25] ---
		01:15:02	login		myworkstation.local
		01:37:45	login		myworkstation.local
		03:21:43	logout			webserver.local
		06:26:27	login		mailserver.local
	DATE: [2020-05-26] ---
		04:25:57	login		webserver.local
		04:48:50	login		webserver.local
		14:12:47	logout			mailserver.local
		15:28:29	login		myworkstation.local
	DATE: [2020-05-28] ---
		01:31:22	logout			mailserver.local
		04:40:30	logout			webserver.local
		04:59:19	login		mailserver.local
		05:17:21	login		myworkstation.local
		06:35:27	logout			mailserver.local
		20:05:03	login		webserver.local


delphine.hillebrand@mail2emergency.com	8
	DATE: [2020-05-07] ---
		01:41:36	login		mailserver.local
		05:15:22	login		webserver.local
		06:41:40	logout			myworkstation.local
		14:25:49	login		webserver.local
		16:57:35	logout			myworkstation.local
		22:00:10	login		myworkstation.local
	DATE: [2020-05-08] ---
		03:40:46	logout			webserver.local
		04:33:25	login		mailserver.local
		13:36:14	logout			mailserver.local
		14:09:37	login		webserver.local
	DATE: [2020-05-13] ---
		00:20:06	login		mailserver.local
		01:03:21	login		mailserver.local
		09:37:31	login		webserver.local
		15:08:02	logout			myworkstation.local
	DATE: [2020-05-15] ---
		00:27:26	login		mailserver.local
	DATE: [2020-05-16] ---
		01:43:09	login		webserver.local
		13:51:07	login		mailserver.local
		14:19:05	logout			webserver.local
		16:31:56	login		myworkstation.local
		16:52:56	logout			webserver.local
	DATE: [2020-05-22] ---
		00:55:11	login		mailserver.local
		01:18:07	login		mailserver.local
		01:50:54	logout			myworkstation.local
		04:10:56	login		mailserver.local
		15:50:19	logout			myworkstation.local
	DATE: [2020-05-27] ---
		01:46:25	login		webserver.local
	DATE: [2020-05-29] ---
		04:28:02	login		webserver.local
		08:11:20	login		mailserver.local
		08:34:15	logout			webserver.local


masiel.goelz@freesurf.fr	10
	DATE: [2020-05-02] ---
		01:50:26	login		mailserver.local
		08:00:01	login		myworkstation.local
		08:39:50	logout			mailserver.local
		09:03:31	login		mailserver.local
		12:35:04	logout			myworkstation.local
		23:42:30	logout			myworkstation.local
	DATE: [2020-05-10] ---
		01:07:50	login		mailserver.local
		02:41:22	logout			webserver.local
	DATE: [2020-05-11] ---
		00:06:20	login		myworkstation.local
		05:22:37	login		myworkstation.local
		10:52:33	login		myworkstation.local
		15:37:46	logout			mailserver.local
		18:15:07	logout			webserver.local
	DATE: [2020-05-14] ---
		02:08:03	login		myworkstation.local
	DATE: [2020-05-18] ---
		01:58:42	login		webserver.local
		04:47:19	login		myworkstation.local
		06:29:57	login		myworkstation.local
		07:49:59	logout			myworkstation.local
		08:20:19	logout			webserver.local
	DATE: [2020-05-22] ---
		04:15:27	login		mailserver.local
		14:33:24	login		webserver.local
		17:52:07	login		myworkstation.local
	DATE: [2020-05-23] ---
		00:21:10	login		myworkstation.local
		01:05:48	login		webserver.local
		19:41:13	logout			webserver.local
	DATE: [2020-05-25] ---
		00:24:49	login		myworkstation.local
		17:28:58	login		mailserver.local
		21:26:28	logout			mailserver.local
	DATE: [2020-05-26] ---
		00:00:43	login		mailserver.local
		02:57:27	logout			myworkstation.local
		20:01:22	logout			webserver.local
		23:00:43	logout			webserver.local
	DATE: [2020-05-30] ---
		00:22:26	login		webserver.local
		00:57:43	login		mailserver.local
		06:49:24	logout			myworkstation.local
		09:42:03	logout			mailserver.local
		09:57:14	login		myworkstation.local


isiah.baltazor@miho-nakayama.com	4
	DATE: [2020-05-04] ---
		00:59:39	logout			myworkstation.local
		04:07:01	login		webserver.local
		13:58:29	logout			mailserver.local
		17:16:38	login		myworkstation.local
		19:30:48	login		myworkstation.local
	DATE: [2020-05-14] ---
		01:41:18	login		myworkstation.local
		07:29:19	login		myworkstation.local
		10:55:42	login		mailserver.local
		14:44:34	login		mailserver.local
		17:06:27	login		webserver.local
		21:33:59	login		myworkstation.local
	DATE: [2020-05-20] ---
		01:42:17	login		mailserver.local
		04:23:43	login		webserver.local
		10:24:57	login		webserver.local
		20:29:14	login		webserver.local
	DATE: [2020-05-21] ---
		01:38:53	login		webserver.local
		03:09:38	logout			myworkstation.local
		15:25:25	logout			myworkstation.local
		17:00:48	login		myworkstation.local
		22:06:12	login		mailserver.local


fredricka.twine@estranet.it	4
	DATE: [2020-05-02] ---
		02:18:48	login		myworkstation.local
		08:38:25	logout			myworkstation.local
		09:49:03	login		myworkstation.local
		15:47:19	login		webserver.local
		18:24:09	logout			mailserver.local
		22:01:25	login		mailserver.local
	DATE: [2020-05-10] ---
		03:46:04	login		mailserver.local
		16:06:16	login		mailserver.local
		18:36:55	logout			myworkstation.local
	DATE: [2020-05-11] ---
		04:48:05	login		webserver.local
		14:31:40	login		webserver.local
		15:53:16	logout			mailserver.local
		16:18:00	logout			webserver.local
	DATE: [2020-05-21] ---
		02:57:50	login		webserver.local
		04:21:24	login		mailserver.local
		06:55:55	logout			mailserver.local
		15:09:27	login		myworkstation.local
		18:40:39	login		myworkstation.local


laurinda.barrow@miho-nakayama.com	8
	DATE: [2020-05-01] ---
		02:19:42	login		myworkstation.local
		06:32:08	logout			webserver.local
		08:13:11	logout			webserver.local
		10:17:09	logout			mailserver.local
		15:08:55	login		mailserver.local
		17:55:47	login		webserver.local
		21:49:01	logout			myworkstation.local
	DATE: [2020-05-02] ---
		01:21:42	login		myworkstation.local
		05:22:07	login		mailserver.local
		12:17:20	login		myworkstation.local
		12:45:00	logout			myworkstation.local
		14:17:39	login		myworkstation.local
		20:30:34	login		mailserver.local
	DATE: [2020-05-03] ---
		02:00:10	login		myworkstation.local
		17:43:57	login		myworkstation.local
	DATE: [2020-05-04] ---
		00:13:02	logout			myworkstation.local
		01:12:22	login		mailserver.local
		05:53:45	login		webserver.local
		11:09:23	logout			mailserver.local
		20:12:36	logout			myworkstation.local
	DATE: [2020-05-12] ---
		04:27:46	login		mailserver.local
		06:02:45	logout			myworkstation.local
		09:37:20	logout			webserver.local
		10:11:12	logout			mailserver.local
		15:49:16	logout			mailserver.local
	DATE: [2020-05-23] ---
		03:30:48	login		webserver.local
		06:14:14	logout			mailserver.local
		10:37:06	logout			webserver.local
		19:19:46	logout			mailserver.local
	DATE: [2020-05-26] ---
		01:32:22	login		webserver.local
		01:46:35	logout			webserver.local
		14:23:49	logout			myworkstation.local
	DATE: [2020-05-29] ---
		01:36:47	login		mailserver.local
		04:43:53	login		myworkstation.local
		05:26:07	logout			mailserver.local
		06:00:09	logout			myworkstation.local
		13:52:03	logout			mailserver.local
		21:37:47	login		myworkstation.local
		23:30:37	login		webserver.local


rebakah.evanoff@theraces.com	9
	DATE: [2020-05-04] ---
		04:50:38	login		webserver.local
		09:19:17	login		mailserver.local
	DATE: [2020-05-05] ---
		02:37:10	login		webserver.local
		08:07:18	logout			mailserver.local
		13:44:19	logout			mailserver.local
		17:50:19	logout			myworkstation.local
		18:08:16	login		myworkstation.local
		21:24:41	logout			mailserver.local
		21:30:54	login		webserver.local
		22:51:14	login		myworkstation.local
	DATE: [2020-05-16] ---
		00:01:23	login		mailserver.local
		03:19:41	logout			myworkstation.local
		04:00:16	login		mailserver.local
		05:29:47	logout			webserver.local
		09:14:24	login		mailserver.local
		22:01:44	login		mailserver.local
		22:57:44	logout			myworkstation.local
	DATE: [2020-05-17] ---
		00:58:57	login		webserver.local
		03:22:44	login		webserver.local
		08:17:02	login		mailserver.local
		08:50:34	login		myworkstation.local
		13:20:23	login		myworkstation.local
	DATE: [2020-05-18] ---
		04:00:32	login		mailserver.local
		11:03:15	logout			myworkstation.local
	DATE: [2020-05-20] ---
		04:57:21	login		webserver.local
		05:14:21	login		webserver.local
		07:12:20	logout			mailserver.local
	DATE: [2020-05-21] ---
		02:56:00	login		webserver.local
		05:48:55	login		myworkstation.local
		07:07:44	logout			webserver.local
		07:45:37	login		mailserver.local
		11:50:27	login		myworkstation.local
		12:41:50	logout			mailserver.local
	DATE: [2020-05-24] ---
		03:57:04	login		mailserver.local
		10:26:08	logout			myworkstation.local
		10:42:31	login		mailserver.local
		19:46:29	logout			myworkstation.local
	DATE: [2020-05-26] ---
		01:46:12	login		myworkstation.local
		06:04:29	login		myworkstation.local
		11:16:50	login		myworkstation.local
		21:55:59	login		webserver.local


torrell.mckown@miho-nakayama.com	11
	DATE: [2020-05-05] ---
		01:25:51	login		webserver.local
		03:43:28	logout			myworkstation.local
		07:00:23	login		webserver.local
		09:25:08	login		myworkstation.local
		18:54:23	login		mailserver.local
		19:56:25	login		mailserver.local
	DATE: [2020-05-08] ---
		02:55:33	login		webserver.local
		07:42:02	login		webserver.local
		09:44:52	login		myworkstation.local
		12:28:18	logout			webserver.local
	DATE: [2020-05-09] ---
		02:50:10	login		myworkstation.local
		02:54:36	login		myworkstation.local
		06:43:13	logout			webserver.local
		19:45:08	logout			webserver.local
		21:04:42	login		webserver.local
	DATE: [2020-05-13] ---
		02:42:37	login		webserver.local
		04:17:52	login		mailserver.local
		05:42:32	login		mailserver.local
		05:58:19	logout			mailserver.local
		10:50:43	logout			webserver.local
		11:59:06	login		myworkstation.local
		13:56:25	login		myworkstation.local
		17:21:18	login		myworkstation.local
		18:01:31	login		webserver.local
		20:37:45	logout			myworkstation.local
		21:53:35	logout			mailserver.local
	DATE: [2020-05-14] ---
		01:50:57	login		myworkstation.local
		07:09:20	login		mailserver.local
		12:56:16	logout			myworkstation.local
		17:36:24	logout			myworkstation.local
	DATE: [2020-05-15] ---
		03:08:27	login		webserver.local
		07:39:55	login		myworkstation.local
		11:01:21	login		webserver.local
		11:14:34	logout			mailserver.local
		13:26:45	logout			myworkstation.local
		15:59:08	logout			myworkstation.local
		22:22:52	logout			mailserver.local
	DATE: [2020-05-18] ---
		02:23:45	login		myworkstation.local
		17:22:45	logout			myworkstation.local
		20:43:04	login		myworkstation.local
	DATE: [2020-05-20] ---
		02:42:32	logout			webserver.local
		03:37:55	login		myworkstation.local
		10:34:07	login		webserver.local
	DATE: [2020-05-23] ---
		01:27:52	login		myworkstation.local
		01:57:08	login		myworkstation.local
		02:23:45	logout			myworkstation.local
		13:23:35	logout			myworkstation.local
		15:42:18	login		myworkstation.local
		16:41:10	login		myworkstation.local
	DATE: [2020-05-24] ---
		03:51:54	login		mailserver.local
		07:23:18	login		myworkstation.local
		11:59:55	login		myworkstation.local
		12:49:27	logout			mailserver.local
		18:49:34	logout			myworkstation.local
	DATE: [2020-05-26] ---
		01:36:29	login		myworkstation.local
		04:09:53	logout			webserver.local
		05:54:49	login		mailserver.local
		19:37:00	logout			webserver.local
		20:48:00	logout			mailserver.local


keshawn.zimmerman@mail2zambia.com	10
	DATE: [2020-05-01] ---
		02:02:19	login		myworkstation.local
		11:48:58	logout			webserver.local
		14:06:19	login		mailserver.local
		15:58:14	login		mailserver.local
	DATE: [2020-05-02] ---
		00:26:45	login		mailserver.local
		02:20:32	logout			myworkstation.local
		05:12:09	login		mailserver.local
		09:56:12	logout			myworkstation.local
		12:13:24	login		myworkstation.local
		14:23:09	logout			myworkstation.local
		20:46:27	logout			mailserver.local
	DATE: [2020-05-03] ---
		01:58:49	logout			mailserver.local
		03:51:58	login		webserver.local
		08:16:04	logout			myworkstation.local
		15:37:45	logout			mailserver.local
		16:55:27	login		webserver.local
		17:33:53	logout			myworkstation.local
		21:31:02	login		webserver.local
	DATE: [2020-05-06] ---
		02:22:51	login		webserver.local
		07:59:37	logout			mailserver.local
		23:03:32	logout			mailserver.local
	DATE: [2020-05-11] ---
		00:40:07	login		webserver.local
		02:43:00	login		webserver.local
		07:30:52	logout			mailserver.local
		10:10:19	login		mailserver.local
		14:16:49	logout			mailserver.local
		19:51:01	logout			myworkstation.local
	DATE: [2020-05-14] ---
		01:03:13	login		myworkstation.local
		21:01:43	login		mailserver.local
		21:09:04	logout			myworkstation.local
		21:46:32	login		webserver.local
	DATE: [2020-05-15] ---
		02:46:50	login		webserver.local
		03:49:36	logout			mailserver.local
	DATE: [2020-05-22] ---
		01:51:33	login		webserver.local
	DATE: [2020-05-26] ---
		02:20:21	login		webserver.local
		10:37:41	logout			webserver.local
		13:13:56	logout			myworkstation.local
		17:41:31	logout			myworkstation.local
		21:30:28	logout			myworkstation.local
		23:13:59	logout			myworkstation.local
	DATE: [2020-05-28] ---
		00:54:58	login		myworkstation.local
		04:31:45	logout			webserver.local
		14:55:04	login		webserver.local
		15:41:45	logout			myworkstation.local
		20:18:51	logout			myworkstation.local


nyeshia.weinstock@theraces.com	10
	DATE: [2020-05-04] ---
		03:20:29	login		mailserver.local
		03:36:55	login		mailserver.local
		05:25:44	login		webserver.local
		10:49:43	login		myworkstation.local
		12:05:14	login		mailserver.local
		14:14:34	logout			myworkstation.local
	DATE: [2020-05-07] ---
		02:59:42	login		myworkstation.local
		05:18:52	login		webserver.local
		10:22:33	logout			mailserver.local
		10:28:58	login		webserver.local
		11:47:39	logout			webserver.local
		20:03:32	login		webserver.local
		21:47:07	login		mailserver.local
	DATE: [2020-05-12] ---
		00:06:50	login		myworkstation.local
		12:52:29	login		webserver.local
		17:13:31	login		mailserver.local
		23:05:53	login		webserver.local
		23:34:43	logout			myworkstation.local
	DATE: [2020-05-13] ---
		01:58:01	login		myworkstation.local
		02:08:45	logout			myworkstation.local
		20:35:46	logout			myworkstation.local
	DATE: [2020-05-19] ---
		04:23:22	login		mailserver.local
		12:16:51	login		webserver.local
	DATE: [2020-05-23] ---
		01:09:07	login		webserver.local
		10:46:28	logout			myworkstation.local
		15:57:11	login		myworkstation.local
	DATE: [2020-05-24] ---
		00:54:33	login		mailserver.local
		03:00:16	logout			webserver.local
		11:47:51	login		mailserver.local
	DATE: [2020-05-27] ---
		01:02:56	login		myworkstation.local
		02:43:47	logout			myworkstation.local
		19:04:51	login		myworkstation.local
	DATE: [2020-05-28] ---
		01:40:24	login		mailserver.local
		05:19:21	logout			webserver.local
		07:01:45	login		myworkstation.local
		11:54:20	login		mailserver.local
		19:10:26	login		mailserver.local
		19:19:32	login		myworkstation.local
	DATE: [2020-05-30] ---
		00:18:12	login		mailserver.local
		07:46:29	logout			mailserver.local
		17:41:53	logout			myworkstation.local
		21:45:12	logout			myworkstation.local


rob.weinstock@miho-nakayama.com	8
	DATE: [2020-05-01] ---
		04:56:40	login		webserver.local
		21:18:48	login		myworkstation.local
	DATE: [2020-05-03] ---
		01:44:10	login		myworkstation.local
		08:34:44	logout			myworkstation.local
		13:01:28	logout			webserver.local
	DATE: [2020-05-06] ---
		01:00:03	login		myworkstation.local
		10:57:45	login		myworkstation.local
		14:20:21	login		myworkstation.local
	DATE: [2020-05-17] ---
		03:21:36	login		webserver.local
		11:29:48	logout			myworkstation.local
		13:05:24	login		myworkstation.local
		23:23:20	login		mailserver.local
	DATE: [2020-05-20] ---
		03:48:03	login		myworkstation.local
		06:35:09	logout			myworkstation.local
		10:16:38	logout			webserver.local
		13:00:54	login		mailserver.local
	DATE: [2020-05-25] ---
		02:27:41	login		myworkstation.local
		03:02:05	login		mailserver.local
		03:02:13	logout			webserver.local
		04:30:58	login		webserver.local
		04:32:43	logout			webserver.local
		06:50:03	login		mailserver.local
		16:27:05	logout			myworkstation.local
		19:53:21	login		webserver.local
		21:00:25	logout			mailserver.local
	DATE: [2020-05-26] ---
		00:22:09	logout			webserver.local
		02:41:55	login		mailserver.local
		11:22:06	logout			mailserver.local
	DATE: [2020-05-28] ---
		01:50:11	login		webserver.local
		14:32:18	logout			webserver.local
		14:53:18	login		myworkstation.local
		17:13:34	logout			mailserver.local
		18:34:06	logout			mailserver.local
		21:55:10	logout			webserver.local


queen.pflughoeft@theraces.com	6
	DATE: [2020-05-12] ---
		02:34:02	login		myworkstation.local
		06:30:11	login		mailserver.local
		07:17:27	login		webserver.local
		15:25:52	login		mailserver.local
		17:07:39	login		mailserver.local
	DATE: [2020-05-14] ---
		00:05:09	login		mailserver.local
		06:01:54	login		mailserver.local
		06:03:19	logout			webserver.local
		10:20:38	login		mailserver.local
		18:53:16	logout			myworkstation.local
		20:14:42	login		webserver.local
	DATE: [2020-05-17] ---
		01:46:23	logout			mailserver.local
		04:26:30	login		mailserver.local
		12:49:49	logout			webserver.local
		15:47:22	logout			webserver.local
		17:20:46	login		mailserver.local
		19:05:49	login		myworkstation.local
	DATE: [2020-05-23] ---
		00:03:38	login		webserver.local
		00:05:58	login		myworkstation.local
		03:04:43	login		webserver.local
		15:57:29	login		webserver.local
		22:14:05	login		mailserver.local
	DATE: [2020-05-28] ---
		01:32:39	login		mailserver.local
		05:00:08	logout			myworkstation.local
		10:22:01	login		webserver.local
		12:32:29	login		mailserver.local
	DATE: [2020-05-29] ---
		00:23:58	login		myworkstation.local
		04:05:25	logout			mailserver.local
		10:10:40	logout			webserver.local
		11:33:17	logout			mailserver.local


remington.gabeline@mail2srilanka.com	6
	DATE: [2020-05-04] ---
		01:30:31	login		myworkstation.local
	DATE: [2020-05-05] ---
		03:00:27	login		myworkstation.local
		06:15:50	logout			myworkstation.local
		23:30:11	logout			mailserver.local
	DATE: [2020-05-06] ---
		00:17:26	login		webserver.local
		03:17:10	login		webserver.local
		04:55:46	logout			webserver.local
		13:53:05	login		mailserver.local
		18:38:17	logout			myworkstation.local
		23:57:08	login		webserver.local
	DATE: [2020-05-10] ---
		03:39:04	login		webserver.local
		09:38:37	logout			myworkstation.local
		10:09:45	logout			myworkstation.local
		15:55:00	login		webserver.local
		19:13:12	logout			mailserver.local
		22:37:52	logout			myworkstation.local
		23:05:56	login		webserver.local
	DATE: [2020-05-13] ---
		00:11:36	login		myworkstation.local
	DATE: [2020-05-28] ---
		02:46:53	login		webserver.local
		09:01:44	logout			myworkstation.local


karlita.pedretti@yahoo.com.mx	11
	DATE: [2020-05-02] ---
		03:58:03	login		mailserver.local
		07:46:42	login		myworkstation.local
		08:49:13	login		webserver.local
		12:31:59	logout			webserver.local
		14:45:32	logout			mailserver.local
		17:59:50	login		mailserver.local
		23:28:16	login		mailserver.local
	DATE: [2020-05-03] ---
		03:14:35	login		mailserver.local
		09:28:39	logout			mailserver.local
		12:16:44	logout			webserver.local
		18:04:30	logout			mailserver.local
		18:31:24	login		myworkstation.local
		20:39:45	login		webserver.local
		21:08:42	login		webserver.local
	DATE: [2020-05-04] ---
		03:46:03	login		mailserver.local
		04:52:48	logout			webserver.local
		09:55:47	logout			myworkstation.local
		10:16:35	login		webserver.local
		12:53:35	login		mailserver.local
		16:29:29	logout			mailserver.local
		18:46:29	login		myworkstation.local
		22:18:00	logout			myworkstation.local
		23:39:53	login		mailserver.local
	DATE: [2020-05-06] ---
		00:41:45	login		mailserver.local
		01:01:42	login		myworkstation.local
		04:38:55	login		webserver.local
		08:14:02	login		myworkstation.local
		09:01:57	logout			mailserver.local
		14:47:03	login		myworkstation.local
		20:28:57	login		myworkstation.local
	DATE: [2020-05-08] ---
		01:51:42	login		mailserver.local
		23:29:27	logout			myworkstation.local
		23:47:36	login		myworkstation.local
	DATE: [2020-05-09] ---
		02:14:47	login		webserver.local
		16:14:49	logout			myworkstation.local
	DATE: [2020-05-10] ---
		00:04:30	login		webserver.local
		07:45:59	logout			mailserver.local
		07:47:09	login		myworkstation.local
		08:23:09	logout			myworkstation.local
		20:44:15	logout			webserver.local
		21:06:56	logout			mailserver.local
	DATE: [2020-05-14] ---
		01:19:35	login		webserver.local
		01:29:45	login		webserver.local
		06:39:48	logout			mailserver.local
		10:36:35	logout			mailserver.local
		20:48:01	login		myworkstation.local
	DATE: [2020-05-18] ---
		03:06:39	login		myworkstation.local
		12:59:58	login		webserver.local
		13:16:44	logout			myworkstation.local
		20:21:55	logout			webserver.local
	DATE: [2020-05-25] ---
		00:24:32	login		myworkstation.local
		18:23:30	logout			myworkstation.local
	DATE: [2020-05-28] ---
		01:21:11	login		webserver.local
		10:56:23	login		myworkstation.local
		22:50:23	logout			webserver.local


daysha.karshner@blacksburg.net	11
	DATE: [2020-05-01] ---
		01:55:52	login		mailserver.local
		09:04:51	login		webserver.local
		13:16:14	login		myworkstation.local
		17:55:00	login		myworkstation.local
	DATE: [2020-05-03] ---
		02:00:52	login		myworkstation.local
		04:03:42	logout			mailserver.local
		13:59:06	logout			myworkstation.local
	DATE: [2020-05-04] ---
		04:14:32	login		mailserver.local
		07:12:13	login		mailserver.local
		15:14:41	logout			myworkstation.local
		17:55:06	login		mailserver.local
		18:41:01	login		webserver.local
	DATE: [2020-05-05] ---
		01:19:43	login		mailserver.local
		03:17:30	login		webserver.local
		17:45:33	login		mailserver.local
	DATE: [2020-05-09] ---
		00:54:56	login		myworkstation.local
		09:52:36	logout			mailserver.local
		20:10:19	logout			myworkstation.local
		22:59:16	logout			myworkstation.local
	DATE: [2020-05-14] ---
		04:59:30	login		mailserver.local
		08:21:15	login		mailserver.local
		08:23:27	login		webserver.local
	DATE: [2020-05-19] ---
		04:40:30	login		webserver.local
		05:10:55	logout			myworkstation.local
	DATE: [2020-05-22] ---
		00:36:16	login		myworkstation.local
		10:28:17	logout			myworkstation.local
		11:19:42	logout			mailserver.local
		14:09:11	logout			myworkstation.local
		17:50:47	logout			myworkstation.local
		17:55:34	login		myworkstation.local
		22:37:04	login		webserver.local
	DATE: [2020-05-26] ---
		00:46:14	login		myworkstation.local
		20:26:07	login		myworkstation.local
		21:35:34	logout			mailserver.local
	DATE: [2020-05-27] ---
		01:51:06	login		webserver.local
		06:04:15	logout			webserver.local
		11:07:02	login		myworkstation.local
		12:03:03	logout			mailserver.local
		15:17:15	login		myworkstation.local
	DATE: [2020-05-28] ---
		02:11:36	login		myworkstation.local
		22:37:32	logout			webserver.local


xandria.cassetty@mail2zambia.com	13
	DATE: [2020-05-02] ---
		04:08:13	login		myworkstation.local
		08:34:47	login		webserver.local
		09:04:10	login		webserver.local
	DATE: [2020-05-03] ---
		00:05:32	logout			webserver.local
		01:28:08	login		myworkstation.local
		12:07:44	login		mailserver.local
	DATE: [2020-05-06] ---
		01:25:49	logout			webserver.local
		02:52:13	login		myworkstation.local
		10:38:52	logout			webserver.local
		20:59:29	login		webserver.local
	DATE: [2020-05-09] ---
		01:33:30	login		webserver.local
		08:03:39	login		mailserver.local
	DATE: [2020-05-15] ---
		00:07:28	login		webserver.local
		01:22:48	login		mailserver.local
		11:41:13	logout			myworkstation.local
		20:21:28	logout			myworkstation.local
	DATE: [2020-05-20] ---
		00:47:50	login		mailserver.local
		18:23:36	login		webserver.local
	DATE: [2020-05-21] ---
		00:55:04	login		webserver.local
		08:38:28	login		myworkstation.local
		16:43:36	logout			webserver.local
		17:25:27	logout			webserver.local
		21:18:06	logout			webserver.local
		23:15:03	logout			mailserver.local
	DATE: [2020-05-23] ---
		01:20:38	login		webserver.local
		20:19:11	login		myworkstation.local
		23:52:00	logout			webserver.local
	DATE: [2020-05-24] ---
		02:59:41	login		myworkstation.local
		06:31:10	logout			webserver.local
		09:49:49	logout			myworkstation.local
		12:40:30	login		webserver.local
		19:35:04	logout			myworkstation.local
		21:04:38	login		myworkstation.local
		23:05:00	login		webserver.local
	DATE: [2020-05-26] ---
		01:29:32	logout			myworkstation.local
		04:08:32	login		webserver.local
		06:34:01	login		myworkstation.local
		09:05:54	logout			myworkstation.local
	DATE: [2020-05-27] ---
		00:39:57	login		mailserver.local
		07:52:33	logout			mailserver.local
		08:05:29	logout			myworkstation.local
	DATE: [2020-05-28] ---
